동사,빈도
기울어지는,1
막히지,2
닫으며,1
옮기는,3
품질지도,1
부풀어,2
오르고,1
오르지,1
이르게,2
나타내면,1
새것과,2
태우거나,2
겨지도록,1
바로잡을,1
넣도록,2
닫아서,1
없애,1
꺼내도록,1
온계,2
나타내기도,1
편질,1
만나,3
된다고,3
내보내는,1
막재로,1
막재를,1
알아본다,4
잠기도록,2
가하기도,2
않으며,1
찌그러지지,1
말려지지,1
태워진,1
떠내려,1
맡기,1
침기에,1
살펴볼,2
끊어짐을,2
팅기,2
곁들인,1
눕히거나,1
해주기,1
지에는,1
넘어진,2
많아져서,1
죽어,1
쏴,1
부풀리게,1
갖추기,1
붙여서,4
떨어지게,3
퍼낸다,2
쌓이도록,1
놓이는,1
잔수,1
까는,1
까고,1
갈아입히거나,1
질하며,1
받도록,2
쓸고,5
찾는,4
고르며,1
설면의,1
울리고,1
맺는다,5
하자를,1
뽑는다,4
먹인다,3
처짐이,1
걸어가거나,1
달려가거나,1
지르거나,1
이루어지지,1
끼어,2
본떠진,2
받아들이는,1
크다고,1
지나치게,1
세우며,4
문을,2
문으로,1
할지,2
흩어져,1
물린,2
빼내거나,2
솟아,1
잇거나,6
튀어나오지,1
골라주고,1
트인,2
맞을,1
만들어지지,1
채우면서,1
세어서,2
녹슬게,1
들,2
쓸거나,1
가하기,3
모아진,2
떨어짐과,1
캘,1
쪼개어진,1
뿜어낸다,1
빨아내고,1
가리기,1
나거나,2
찌그러진,1
심도계를,1
치운다,5
식은,1
찍힘이,1
읽는다,2
담그고,7
녹으면서,1
개면기,1
풀어주는,1
개면한,1
개면,2
풀리에,1
깎,1
맺기,1
녹은,2
부풀도록,1
부풀려진,2
식혀,1
이끌어내는,1
자재운,2
세워질,1
다지도록,1
보는데,1
맞닿는지,1
떨림음,1
나는지,1
알아내고,3
눌러가며,1
녹아나는,1
두었다가,3
맡아,3
춘,2
캐내고,1
작동시키기,1
담아지는,1
업지를,2
쌓기도,2
찾아주는,3
녹사,2
불러일으킬,2
찾아가거나,1
들어가면,2
꿰매는,2
꿰매기도,2
당기고,2
당겨지도록,1
겼는지,1
채워지는,1
부릴,1
마칠,1
세서의,1
갖추었는지,2
인정받을,1
감면,4
키우도록,2
임지에,2
인가를,1
띄운,2
밝혀,1
사한다,3
산세용,1
치대에,4
치대를,1
적치한,6
가져올,1
깨짐이나,1
보냄으로써,1
들어가,3
집수기에,1
살린,1
먹이거나,2
생길,3
보일,5
줄인다,2
두드린다,5
끌어내고,1
끼치는,2
알리려는,1
만질,1
퍼져있는,1
이루어진다,2
크워,1
묶어내고,1
가르고,3
되살리기,1
가져와,1
실릴,1
갈아서,2
흐린,1
쓰고자,1
하였던,1
떨어질수,1
나눈,2
쪼갬,2
깨지도록,1
깨어,1
나도,1
깨서,1
놓아,5
흘러내리지,1
선안을,3
삭이,4
뿌려지도록,1
뚫음,1
보내면서,1
보내지며,1
보내진다,1
막히는,3
받쳐줄,1
놓을,3
알려지지,1
처진,1
기다란,1
둘러싼,1
침자,2
둘러싸,1
조임으로써,1
두르고,2
줄이거나,1
사거나,1
꾸며줄,1
채워줄,1
푸는,1
개소,2
태운다,1
선주에게,3
준해,1
선내,6
나타나게,3
해사,1
시키지,2
내리며,1
핀대,1
겼을,2
맞추도록,1
탄의,4
이어지지,1
읽어주면서,1
읽게,1
담기도록,1
찢거나,1
쪼개면서,1
들어가는지,2
보울,2
막히는지,1
막힌,1
부심사,1
감대,2
걸쳐놓고,3
찾아주고,1
빼거나,1
새것으로,8
끊어지는,3
가하였을,1
집하기,3
견뎌,1
누른,1
내려오도록,1
접혀진,2
잘려진,4
집어넣는,1
심은,1
튀어나오도록,1
떨,1
헤친,3
말거나,1
틀어서,1
걸기도,3
않나,3
벗긴,2
입도계,1
당기는,1
경화시킬,1
쳐놓고,1
쓸어서,1
뚫려있는,1
트임과,1
트임,1
개더,1
갖추어진,1
잠김,2
어울리는지,2
심으며,1
올에,1
싶어,3
살피기,2
타사,2
해지도록,1
조른다,1
묶은,3
묶어진,3
흘러나오지,1
돌려가면서,1
잘라진,2
눌러주어,1
붙게,1
떠낸,4
쌓아놓은,1
떼어서,1
사고내용,1
입고를,4
트실에,1
트실,1
버리기,1
움직이면서,1
짜이는,4
짜이도록,3
끊고,2
집전하거나,1
스치며,1
내려가게,1
다져,3
굳히는,1
끌어내는,1
따른다,1
벗어나,2
하면이,1
죽었거나,1
덮거나,1
부딪히는,1
아물도록,1
삶아,3
죽어가는,1
해운,1
개질하는,1
올리며,1
익힌다,3
가에는,1
불어음,1
해서는,4
꽂혀,1
틀릴,1
집하소,1
오더를,1
때려,1
정해지는,2
다짐기,1
느낀,1
들으며,1
찾아오는,1
사는,1
맺는지를,1
느낄,1
알려주어,1
들러붙은,1
치우기,1
얼어붙은,1
깨뜨리고,1
데워,1
깔린,1
깨어지거나,1
깔면서,1
쪼임,2
말린다,3
파더,1
떼어내,2
떨림을,1
걷거나,1
뛰거나,1
늘리는,1
담기면,1
메워주기,1
닦아내어,2
밝아오기,1
어두워지기,1
씌우기,1
끄,2
쉽,2
닿을,1
감아주고,1
일러에,8
긁어서,3
끌어내린다,1
다닌다,1
필치,1
기계실을,1
두드리며,1
돌보도록,1
두는,1
보고하거나,1
넘기는,1
가져온,1
물림대,2
막혀,3
편수와,1
바꾸어주는,1
빌더,2
용도구,1
탄기로,1
녹여주는,1
입혀지도록,1
나눠,1
심도를,4
파자리,1
감싼다,2
비전에,1
비전은,1
앉아,3
움직이는지,1
껐다가,1
꺼지는,1
펴지는지,1
키우고,3
피는,1
흘려주어,1
되어서,2
돌아보면서,1
입혀지면,1
업소,2
깎아내도록,1
낀,1
쪼개진,2
잘라졌는지,1
선보이기,1
신었을,1
뜯는,1
끊어지거나,6
비뚤어진,2
서에서,2
선보이거나,1
지나친,3
만들며,2
집전하고,1
집전,2
벗어나도록,1
사할,1
질잔,1
용은,1
걸리기,1
켜기,4
불린,1
문지르면서,1
찾아낸,1
켜기를,1
어러와,1
높임으로써,1
포개고,2
쌓이면,4
흘러내린,2
받칠,1
잡아낸,1
노거수를,1
피니셔의,3
설되,1
설하,1
꽂아주는,1
멜,1
잡히면,1
가릴,1
살릴,5
익혀서,1
틀어짐,1
이루고,3
이루도록,3
굳힌,3
입혀진,1
주무르고,1
됨이,1
쏟아지지,1
흘려,3
감용,1
펼친다,2
펼쳐지도록,1
펼친,1
올리면,1
말리면서,1
가해져,1
메고,1
오르내리,1
쪼갠다,3
입히,1
익히게,2
불러,10
들인다,9
맞추어서,2
나가며,1
본에,3
움직이면,1
움직이도록,1
들기,2
거침,1
찾거나,3
그려서,2
사라지거나,1
일어날,2
이룸,1
부서지게,1
해있는지,1
집진실의,1
사구,1
책임지,1
녹일,1
가져,1
잃고,1
병들었거나,3
치우는,1
얻고자,2
크고,1
침지하여,1
풀리기,2
잇기,3
닫는,2
붙임,3
키우는,1
버리거나,1
식재하기,1
풀리도록,2
두른다,2
포개어,2
꿰매어,3
가두기,1
내보낸다,1
털어내고,1
뗀,1
깎기를,1
값싼,1
선다,1
털고,1
빠져나가지,1
썰어,2
시들거나,1
올라오면,1
먹지,1
짓는,1
치어의,1
출어선,1
침지되,1
떨어뜨려,2
않으므로,1
두었다,1
붙는,2
받이,3
내리도록,1
돌려줄,1
도려낸다,1
밀려온,1
느끼고,1
메다는,1
디딤,1
알림기로,1
느꼈던,1
가고자,1
나갈,2
돌려주거나,1
잘라지는,1
풀어지고,1
잡아당기,2
험,6
길러주기,1
느끼는,2
걸리게,1
펼쳐지면,1
지립,1
뽑아서,1
지립의,1
매단다,2
다니거나,1
얽힘,2
이르도록,2
찢어지는,1
새는지,1
틀어,2
찾아내도록,2
했던,2
받치게끔,1
나오는지의,1
주고받는다,3
이끌,1
걸리는,2
담그는,1
아실,1
녹고,1
지는지를,1
끌거나,1
들어서,4
젓거나,2
일어났으면,1
일어나도록,1
찾을,2
합용,1
기울어지게,1
잡아당기거나,1
본이,1
찾아가,1
풀단,1
찾아주거나,1
넘지,3
닫힘,2
울러,1
넘어갈,1
적히는,1
매거진에,1
써진,1
넘어가거나,1
잡는데,1
했는지,4
끝낸,2
메거진,1
메거진을,1
대본안을,1
남기,1
들거나,2
바꾸어가며,1
나뉜,1
찢어졌거나,2
둥글리고,1
내리면,1
빠져나가기,1
기다리도록,1
잡하,1
개자리,1
놓기에,1
함실,1
놓,2
집용,1
되어도,1
집하는,1
적시,2
어려울,2
떠냄,1
끓여,1
달구어진,1
해있을,1
개어,2
문지른,1
먹지를,2
옮기,3
외은,1
개실에서,1
띄워주는,1
싼,2
사들여서,1
남겨,2
남기기,1
갈아입히기,1
떨어짐,1
들퍼,1
온하거나,1
탈인을,1
받아들이면,1
끌어오기,1
끝났을,1
가져와서,2
문지르며,1
부러지지,1
걸쳐놓은,1
지켜보며,3
삼가야,1
보이거나,3
오는,3
키울,2
잘리는,1
담겨지는지,1
적거나,3
펼쳐놓는다,1
굴러,3
스며들도록,1
집재,5
쌓을,1
끌기에,1
깐다,5
메어,1
내려놓을,1
무너지거나,2
벌리고,1
맞추어진,1
이루기,2
뚫려,1
죽면의,1
먹줄로,2
갈아입은,2
끌리거나,1
밟히거나,1
흘러내리거나,1
들어주고,4
펴준다,1
펼쳐주는,3
매거진을,1
나아가,1
써도,1
나오고,1
넘겨준,1
끊어지지,1
가느다란,1
붙어있거나,1
넘어,2
떠있는,1
되었는가를,3
추가하거나,1
차입자는,1
하므로,4
하였다가,1
채,1
찢기거나,1
더러워진,1
노내,1
선내에서,1
출하소,1
찍어내어,1
떨어뜨린다,1
퍼지도록,2
다듬으면서,1
부딪혀,2
깨지는,1
끼우기가,1
집면,1
넣으면,1
열린,2
켜서,3
일으키기,1
녹아,2
돌리며,4
열면,1
닫히면,1
열게,1
합되,2
올라간다,2
박테리,1
되어진,3
담겨지도록,1
크거나,1
잠길,1
묻어나지,1
긁는,1
값싸게,1
잠그면서,1
뿌려주어,1
추실에서,1
입고가,2
말려,2
넣었던,1
열수,1
지나갈,1
튀겨져,1
집어내어서,1
돌봄이,1
병들거나,2
닫히는,1
빠뜨린,2
자르지,3
때우기도,1
지우기도,1
찾아내거나,1
바뀌면,1
다루어,1
감사하는,1
두며,1
들어도,1
이끌어내고,1
벗어나지,2
풀렸거나,1
합치는,1
지르도록,1
달거나,3
입어볼,1
맡긴다,1
센다,1
잠그거나,1
깎여,2
지거나,2
지워지지,2
넣어다가,1
끼워주고,1
멈춘다,3
놓여지는,1
가려낸다,2
가려낸,1
모으거나,3
푸져,1
인정받은,1
갖추면,2
기시,1
입고부터,1
기는,2
고친다,1
나타내어,3
빌,2
드시,1
펴놓는다,1
뒤집는다,2
뒤집어진,1
씌워진,1
벌려,1
안진,3
고른지,1
새기는,1
이르지,1
설계안에,1
세워지고,1
설계안대로,1
집어넣어,2
채울,2
끊어지는지,1
겨지면,1
맞추기도,1
가도록,1
묻지,4
추려진,1
판에,3
구부릴,1
보인,1
젓는,1
굳어진,2
닳아진,1
뛰는,1
누르며,2
굳힘,1
건져내는,1
잰,1
임야지를,1
올라가거나,1
썩혀서,1
썩어가는,1
따기,1
올라가서,1
밝혀내기,1
열구전,1
임지로,1
적재지로,1
움직였을,1
흩,1
끌어당기고,2
누르는,3
흘러내리게,1
멈춘,3
펴진,1
적시어,1
삶고자,1
매거나,1
끊어,1
끌어당겨,2
찼,1
둘러,1
풀려,1
팅기계에,1
다듬을,1
멈추도록,1
나타나지,1
구워지는,1
구워진,1
탈사,2
만들어질,2
나타내며,1
따르거나,2
넘는지,1
사하여,2
처짐,2
하기까지의,2
품질지수를,1
탈거하여,1
배우거나,1
거칠,2
넘거나,1
이루어지게,1
지며,1
업은,2
넘기고,1
다려,1
세워서,1
섞이도록,1
가지면서,1
뭉쳐지도록,1
뒤집어주면서,1
친해지도록,1
흔들림과,1
났을,1
닳아서,1
쓰게,1
짜졌을,1
꽂이,1
짜놓은,1
가져다,1
버티,1
나오게끔,1
끝나기,1
풀러로,1
주물러,1
입었던,1
좁히,1
말리기,1
읽어주는,1
묶임,1
망치를,1
틀린,1
포개놓고,1
물용,3
입고하여,1
풀용,1
막혔는지,1
섞여,2
집진실로,1
가져간다,2
집진기로,1
않아야,1
나타나는지,1
머무는,1
뛰지,1
좋아졌는지를,1
퍼지,1
묶이도록,1
맺,1
버팀,1
고르거나,1
잡으며,1
듣는다,2
들안으로,1
부르,1
차전지,1
빌려주고,1
찾아가지,1
올라온,1
적게,2
늦추며,1
가와의,1
하여지는,1
들로,2
침줄,1
보내어주는,2
빠져나가게,1
낮추는,2
구겨지지,1
묻어나면,1
잡아당길,1
일어났는지,1
크래,1
험기에,1
끝내고,1
끊어짐,2
탈거한,2
접어지는,1
접어진,2
되었나,1
말아야,1
들어오는지,1
읽거나,3
기를사,1
흩어짐,1
일그러짐,1
드러난,1
들에게,2
찌는,2
물들인다,1
물들이는,1
넘어온,1
익힘,1
담기는,1
부딪히게,1
풀이하거나,1
타고난,1
짓기도,1
읽을,1
떼고,1
이기는,1
꺼낼,1
끼워서,4
물어보고,3
가라앉히기,1
누름기,1
접어주는,3
올수,2
끊겨서,1
싸기도,2
안정화시킬,3
줄임,2
도려내거나,1
흔들,1
하면서도,1
오실,1
풀리와,1
주는지,1
비었거나,1
빨아들이는,1
꺼내거나,1
감기는지,1
허,1
준거하여,2
되어지면,1
엉클어지거나,1
갈아입히며,1
익숙해지도록,1
먹여주거나,1
채워서,1
들어가기는,1
쉬우나,1
돌아,1
끝나,1
해를,1
뽑은,1
적셔서,1
싸고,1
버팀대,2
담금실로,1
만들면서,1
한꺼,1
바뀔,2
구워지면,1
뿌려지는,2
맞닿게,1
얹어,1
얼게,1
집어내어,1
막기도,1
어긋나지,1
미끄러져,1
돌아온,1
죽데,2
골라내는,1
켜기에,1
켜져,1
다듬어지도록,1
접지기,2
받이로,1
골라내기,1
찰지고,1
차지시서,1
골게,1
도드라지게,1
새긴,1
파인,2
식재지까지,1
사질,2
본수를,1
떨어질,1
베거나,1
타다,1
입었을,1
뽑아져,1
잘려지는,1
살펴보기도,1
쏟는다,1
되었는지에,1
이었는지를,1
사하도록,1
돌보기와,1
젖울,1
보이기,1
맞추어지면,1
맡는,1
태어났을,1
늘어난,1
삽지를,1
달라지는,1
뒤틀림을,1
가져다준다,2
털기,1
찬기,1
다니는,1
보내며,1
문,1
밟기도,1
날아가지,1
새겨지지,2
따내는,1
않는다,1
드리워,1
다는,2
접안하면,1
내려주는,1
매게,1
찾아가서,2
깨뜨리거나,1
부추기는,1
돋아,1
일어설,1
붓도록,1
깨지거나,1
경화시키,1
밀리거나,1
벗어나는,2
밟기,1
맡긴,1
돌려주는,3
가하고자,1
올려주기,1
해기에,1
해수,1
넘겨받아,2
잇기를,1
짜지는,1
파며,1
버려지는,1
열용,1
타주를,1
모여,1
열림,1
올려놓거나,1
빠져나오는,1
찢기,1
뜯어내고,1
짜내기,1
벌려서,1
뽑아내거나,1
잇기도,1
하든가,2
담도계에,1
닫으면서,1
빌리고도,1
갚아야,1
볶기,1
볶아지는지,1
지나가지,1
뚫리도록,1
뚫리면,1
말아서,2
싣기도,1
짜,2
침지를,2
문하거나,1
흘러가도록,1
흘러가는,1
눕히게,1
뽑거나,1
단리,2
긋기,2
재하,1
접용,1
불대,1
맞대고,1
견디기,1
매을,1
적은지,1
감싸준다,1
내게시기,1
찍어낸다,1
말아줄,1
씻고,2
겪고,2
쉼,1
씻거나,1
찾아보고,1
흐르는가를,1
건져내고,1
골라내서,1
접해,1
덮어주며,1
재구를,1
싸기,1
붙음,1
달라붙음,1
벌어지거나,1
도와주거나,2
꺼내서,1
비추고,1
짓기,1
고르고,1
메운,1
놓으며,1
박힌,1
닳고,1
침지와,1
막은,6
만들어진다,1
부풀린다,1
쏟거나,1
빨아내어,1
해당,1
이루워,1
지는지,1
모여있는,1
거둬들인다,1
해하거나,1
잃은,1
빠져나온,1
잘림,1
먹줄이나,1
파도못을,1
않은지를,1
써,1
말리도록,1
지필이,1
지필을,1
지필,1
쉬우므로,2
닮,1
얻어내어,1
나아갈,1
찾으면,1
마시면서,2
넣지,1
가하,1
만들어졌는가를,1
산록,1
선을,1
올려놓,2
열실,1
미끄러지지,1
찢어짐,1
전해지,1
전해지의,1
어긋남,1
채워졌는지,1
피니셔,1
긋는,1
오가,1
쌓여,2
긁어내도록,2
쏟아주면,1
넣어놓고,1
달라붙어,1
없어지거나,2
쓰이며,1
출하는지를,1
이뤄지지,1
섞어서,2
세세한,1
주면서,1
버리고,1
매어,1
뽑도록,1
뽑힌,1
높아지는,1
작동시키면서,1
내려지도록,1
박히게,1
맞붙인다,1
덮이게,1
덧붙여,3
바꾸면서,1
움직이게,1
배대,2
묻히며,1
끊어짐이나,1
해가면서,1
붙임을,1
붙임과,2
뜬,1
박으며,1
할퀴기,1
탈용,2
일러의,1
감싸,1
오염시키는,3
높여주는,1
열하여,1
열하는,2
닿도록,1
잡도록,1
얹는다,1
펼쳐져,1
달라붙는,1
읽어서,1
생겼는지,1
찍도록,1
바꾸어주며,1
들어오거나,1
해준,1
물림을,2
심어지는,1
부러졌거나,1
핀을,1
붙여가면서,1
매면서,1
그립에,1
쬐여,1
뿌려서,1
깬다,1
끌어내어,1
경사진면을,1
파놓은,1
끔,1
지워,1
어리를,1
닳은,1
질기에,1
빗는다,1
타실에서,1
이루어짐에,1
해지에,1
해지를,1
잦은,1
인정받아,1
쪄,1
작동시키거나,1
벗어나는지를,1
이루어,2
살리는,1
엇갈리게,1
드시네,1
걸치거나,1
입는다,1
돌고,1
선보인다,1
입어보게,1
추는,1
기다려,1
둘러보며,1
거둘,1
마친다,1
얻도록,1
끝날,1
올라오는,1
탈수기,2
접거나,2
포개서,1
흘러내림에,1
모아지는,1
집수지의,1
담갔던,1
돌보고,1
짜이지,1
크에,1
흘러,1
부각시키기,1
부서지거나,1
남아있을,1
모을,1
보낼,1
태울,1
푸,1
갈아입도록,1
얹는,1
따르기,1
드리기,1
돌아가신,1
드리,1
되어있는지,1
일어나기,1
세우거나,2
지나가면,1
미끄러짐,1
떠오르는,1
가라앉은,1
띄는,1
박기용,2
밴,1
따서,1
합지를,1
사각이,1
배면지를,1
합지하기,1
합지하고,1
익은,1
안정화시킨다,1
갤,1
좋아지는지,1
크면,1
배우고자,1
돌아다니며,1
멀어질수록,1
커지는,1
그려졌으며,1
만나는,1
튀김기에,1
익히며,1
익히고,1
갖기도,1
빼어,1
추려,1
끌려,1
넓힌다,1
태우고,1
판용,1
켰다,1
껐다,1
쪼임을,1
올리도록,1
용기라면,1
물리도록,1
굽히는,1
굽혀,1
이어지는,1
갖기,1
탈수기로,2
걸어주면,1
이끌어주고,1
튀긴,1
식힌,2
길러지면,1
펼쳐놓고,1
이라,1
만듦,1
다듬음,1
얹으려고,1
얹히는,1
건너는,1
받치는,1
편수의,1
짜면,1
대는,1
꿰뚫어,1
고름질,1
놓이게,1
이겨,1
피운,1
이긴,1
알매,1
줄이,1
맞닿을,1
이을,1
붙어있게,1
얹힌,2
대며,1
뜸기,3
밝혀지지,1
빠짐을,1
떠내고,1
베게,1
떠내기,2
쌓아가다가,1
빼준다,1
포개거나,1
끊여,1
삶은,1
나가게,1
멎을,1
잡아낸다,1
삼실,1
합지에,1
합지하거나,1
다듬어진,1
포개기,1
않았거나,1
이뤄지도록,1
말린,2
캐노,1
되었음,1
탈하여,1
따르는지,1
적혀진,1
탈거,1
밟도록,1
심도있는,1
받이대,1
흘러내림,1
보내지는,2
하기의,1
내렸을,1
낮추어,1
선내의,1
함하여,1
끊어질,1
얻어지면,1
지킨다,1
보도면을,1
나서,1
나타냄과,1
지키는지,1
할지에,1
이루어지기,1
품구,1
매서,1
가두는,1
갈려진,1
살핀,1
그립을,1
이르면,1
파내어,1
댄,1
묻는,1
묻을,1
밝혀지면,1
보내서,1
열리고,1
닫혔는지,1
맞는다,1
출에,1
사라지는,1
건네,1
들어다,1
정해지지,1
건네주고,1
만실,1
꾸리는,1
겼던,1
흩어지지,1
사라짐,1
깎이는,1
멈춤나사,1
벗기지,1
빠졌거나,1
들이치는,1
쌓도록,1
묶기,1
감길,1
심재지와,1
심재지,1
안자,1
끼칠,1
달려있어,1
돌아가도록,1
지키며,1
알아보고,1
알아보는,2
벗어나면,1
피어있는,1
비운다,1
집하,1
생기는지,1
뒤틀리거나,1
적으며,1
달리는,1
밟는,1
담가서,1
없애는,1
품질실사,2
채움,1
웃길,1
