동사,빈도
꿰매거나,1
박는,5
통기의,1
끼우고,75
묶는다,36
붓는다,24
본다,17
가꾸기,1
받았을,3
쌓기를,2
메우기,4
임지의,3
돕는,4
가까지,2
붙지,8
입힐,1
출을,14
떼어내어,9
짓고,2
다듬어,9
해주는,12
먹,7
심거나,2
다듬거나,4
집진기,7
출거,1
하다,18
지,11
설계을,2
선주,21
구부리는,2
옮겨,32
그려지지,1
낮추기,3
크잔,2
찾아내고,15
고르지,14
막기,29
늘이는,1
해내는,3
세당,3
용전로,3
용전,2
접는,4
보여주기,2
보여주는,5
고르,3
들여,4
커인,2
붙은,11
풀어,26
태우는,3
헤쳐,3
다듬어서,7
벗긴다,8
맡게,2
하기도,1554
뜨지,1
다룬다,9
생긴,19
다듬,11
가꿔주기,1
모를,15
깔고,11
믿고,1
깎는다,19
지시치와,1
죽은,7
개질과,1
고르게,51
떨어져,7
대,15
되기까지,2
쓰고,4
안정화시키기,2
도와준다,18
싣기,1
쌓인,9
치우고,6
고른다,15
갖춘,16
팜의,2
들고,4
흔들리는,1
늘리고,3
보도용,2
갖추어,17
시키도록,10
클라,4
쳐진,1
빼내어,13
감아,38
얻고,6
배우는,2
타는,3
마친,31
다루는,9
움직일,5
일으키는,5
팜,7
맞추는,2
깎아내기,1
만들거나,13
가서를,2
뽑아내어,3
시키며,25
않을,24
끓는,4
비해,4
가하면,1
바른,17
어러,1
받이를,2
지를,88
붙인,11
꿰매기,1
올라,3
다져주는,3
피니셔를,3
출하거나,3
부각시킬,1
담겨진,6
빼내서,2
박는다,15
보여줄,5
잡아주고,1
만들도록,1
도와주는,5
어울리는,19
보면대,1
해주며,2
담거나,9
치는,7
설계하거나,5
치입하고,2
가해서,4
받아서,6
움직이기,3
높아지면서,1
만들어내기,2
흘린다,1
크며,1
되어있어,1
얻거나,1
벌어진,2
닫기,1
뜨기,3
감는다,49
기르고,3
끌어오는,1
따고,3
띄우고,1
치어,2
넓히고,2
달려있는,1
알림기,1
만들어주는,3
빌려주기,1
끝나면,125
빌려,4
듣고,29
밝히는,3
잇는다,36
어린,3
펼치는,2
닦는,3
겨진,10
본을,16
늘리거나,2
감는데,1
들어온,7
젖은,2
쓰는,20
본,28
잡힌,4
둔,18
가할,2
떨어진,11
된다,25
일을한,1
차기구,1
붙이거나,8
올이,4
풀어지는,1
이루어졌는지를,2
커,15
팅기를,4
뚫거나,4
보내오는,2
재가노,2
보살핌을,1
용당,5
선주와,8
담아서,7
자재용,1
입재를,1
모으기,1
받거나,17
단련,4
가르칠,2
보여주면서,2
하기를,4
지에서,3
집재지,2
재재,1
매긴다,5
벗기기,2
적재하거나,7
걸어주고,5
풀어놓는,3
벗김,3
끼운다,80
떠내어,2
늘려,1
갖게,4
이르,2
낮추고,8
사와,10
살려,6
높인다,17
들어있는,8
싣거나,12
나르는,2
가구용,2
되는데,2
인수주,1
깨워,1
내주는,1
맞춘다,89
볶고,1
남겨진,2
분말용,1
감싼,4
출되,10
돌보는,1
찾아내기,11
짜거나,2
들어가는,5
뜨고,3
거치므로,1
맞추고,29
안정화시키며,1
돋우기,1
합하거나,1
험자,5
채우는,7
경사진,3
찍어내기,1
높여주고,1
잠금,3
나타나는,19
자르거나,6
파거나,2
묻음,2
섞어,16
펴는,1
가습,8
하려고,3
고치실에,1
굽는,4
차대,2
없애기,8
바꾸거나,6
줄일,3
나타내기,1
뒤집는,2
작동시켜,76
놓기,2
자용,12
입고자,1
막는다,10
깎은,1
입노에,1
탄을,11
이어가도록,1
모으는,4
막힘이,3
적은,8
좋아졌는지,1
적재기,2
시키는데,1
가를,14
겪은,1
바뀐,1
찾아내어,10
부러시,2
잡도,2
붙여주는,1
씌우고,10
구부리기,3
부러진,6
접어주기,1
잡아,13
뽑는,2
사하는,1
해도를,6
가진다,3
아울러,1
멤,7
쪄서,4
섞기,2
굽는다,5
뿌린다,21
작용시켜,1
산테이,2
켠다,15
켜진,1
탄기,3
함기,3
벗겨내고,4
가꾸며,1
식재하거나,1
심는,5
뽑고,3
짜내는,1
찍고,3
걸려,5
알아보기,18
보내는,9
물들을,7
얻은,9
섞이지,3
맞는지를,3
묶거나,7
나누며,2
붙인다,48
떼어,33
통기도,2
찍어,13
묻은,29
보수하거나,8
파내는,1
넣거나,11
잡은,5
벗어날,1
편매,2
붙이기,7
쳐서,6
뽑아내고,4
시켜주는,3
들이,48
해준다,28
담근다,16
만들어서,7
삶는,1
해기,2
지거,1
이루어지는지,108
되었거나,7
떼내어,1
가르치는,1
보내어,4
녹여,13
모으려고,1
돌면서,2
모은다,4
볶은,3
짠다,11
탈자,3
갚지,2
받아내는,1
적치,8
골구,3
구부려,3
들어오고,1
나가는,4
무실,1
기계실에,2
찍어낸,2
막아주는,1
접기마,1
담금,5
갈,7
짜서,3
가르치고,9
가지도록,8
보내진,1
나오게,4
쌓아서,2
바꿔주기,1
바꾸는,5
얻어진,17
비전리,1
쓴,6
줄이는,5
놓거나,10
펼치고,5
채워,26
열려있는,1
보내온,2
엉클어지는,2
깔거나,1
써서,8
나도록,5
찾아가는,2
기르기,1
다심,3
설하기,2
나게,1
전해지를,1
다진다,7
설하는,2
펼쳐서,3
깔아주는,1
섞으며,2
나타낸다,4
크라,12
크사,1
오그라지게,1
묻거나,2
알아내기,13
들어,50
올리는,13
거쳐서,4
올려서,3
모아서,5
맞는지,24
돌아갈,1
바꿔주는,3
묵기를,1
됨으로써,2
견딜,5
매는,7
얽어,5
설하여,1
바름면을,2
세우기,6
빠뜨려,1
담은,15
벗겨지고,1
익혀,4
맺고,2
모은,3
잘랐을,1
용실을,1
튀기고,1
굽거나,1
담는,1
채운다,43
실리테,3
풀어주기,4
씻어내며,1
펴주는,1
퍼내기,1
돌봐주고,1
펴기,3
둘러싸는,1
나가거나,3
빠지는,6
맞지,12
짠,8
띄운다,2
열하기,1
합지하는,1
이르기까지,6
받을,15
받고자,3
바꾸어,7
